child_id,fname,lname,age,family_size,num_of_siblings,parents_working_hours,household_income,access_to_technology,number_of_devices,environment_type,school_type
2,Angel,Juarez,14,4,2,47.30,53580.57,1,,Suburban,?
3,Shane,Vargas,11,8,6,59.40,"28,779.45",1,4,  city  ,PUB
4,Elaine,Berg,18,5,3,26.50,8307.71,1,4,Rural,NULL
5,Lacey,Camacho,12,5,3,38.20,,1,1,city,Homeschool
6,Melinda,Choi,10,2,0,,"21,713.92",0,0,  Suburban  ,homeschool
7,Danielle,Ramirez,13,3,1,,45178.8,1,1,urban,  Public  
8,Maurice,Burton,9,7,5,71.50,14912.08,0,,Rural,PUB
9,Claudia,Stevenson,4,3,0,43.80,24774.62,1,-2,Urban,PUB
10,Beverly,Jennings,10,5,3,54.10,31834.77,1,1,SUB,Public
11,Philip,Matthews,10,2,0,36.70,25984.27,1,3,Suburban, PRIVATE 
12,Rebecca,Webb,5,5,3,47.30,20083.96,1,2,Suburban,Governmental
13,Darlene,Frey,10,4,2,32.20,,,,  Suburban  ,  Public  
14,Dylan,Santiago,3,2,0,47.20,43080.43,0,0,SUB,  Priv  
15,Kelli,,9,4,2,26.60,45537.77,1,4,SUB, Public 
16,Mason,jackson,11,3,1,52.00,16618.51,,,URB,Public
17,Carla,Morrison,11,5,3,44.10,,0,0,  Rural  ,Public
18,Kristen,Figueroa,9,4,2,,42908.92,1,1,URBAN,unknown
19,Desiree,Wolfe,10,5,3,34.70,15903.36,,,Urban,public
20,Stephen,Rose,8,5,3,49.20,36346.3,1,2,city,Private
21,Kaitlyn,Lin,11,5,3,58.00,24845.44,1,3,Urban,Public
22,GAIL,Colon,11,4,2,30.90,15226.36,0,0,Urban,Public
23,Darin,Lane,7,4,2,53.60,45594.31,1,2,Rural,  Private  
24,Megan,Jenkins,11,3,1,40.90,21209.64,0,0,Suburban,Public
25,Joy,Carey,11,2,0,58.60,22888.02,1,2,  RURAL  ,Governmental
26,,Mcconnell,10,5,3,31.50,16048.26,0,,Urban,Public
27,Rhonda,Welch,18,5,3,40.90,60101.31,0,0,suburban,Public
28,Danny,Wallace,10,3,1,,,1,7,Urban,PVT
29,Mason,Luna,9,7,5,,13014.27,1,1,Urban,public
30,Douglas,Tran,9,5,3,47.80,27159.76,1,1,Urban,Priv
31,Unknown,Harvey,7,4,2,54.40,53121.6,1,,Suburb,Intl
32,Alyssa,trevino,13,5,3,43.00,19778.73,1,,  SUB  ,PUBLIC
33,Manuel,Nelson,8,4,2,25.20,37239.09,1,2,urban,Private
34,Patty,Frost,8,3,1,45.10,,0,0,Urban,  Governmental  
